0443,EVAP Control System Canister Purge Valve Circuit Malfunction
1000,OBD II Monitor Testing Not Completed
1001,Unable to Achieve Self-Test Function Or SCP Error
1100,MAF Sensor Circuit Intermittent
1101,MAF Sensor Circuit Out Of Self-Test Range
1102,MAF Sensor Signal Inconsistent With TPS
1103,MAF Sensor Signal Inconsistent With Engine Speed
1110,MAF Sensor Signal (Dynamic Chamber) Circuit
1112,MAF Sensor Circuit Intermittent
1113,MAF Sensor Signal (Dynamic Chamber) Circuit
1114,MAF Sensor Circuit Low Input
1116,ECT Sensor Circuit Out Of Self Test Range
1117,ECT Sensor Signal Intermittent
1120,TPS Out Of Range Low
1121,TPS Signal Not Consistent With MAF Signal
1122,Throttle Position Stuck Closed
1123,Throttle Position Stuck Open
1124,TPS Signal Out Of Self Test Range
1125,TPS Signal Intermittent
1126,Throttle Position (Narrow Range) Sensor Circuit
1127,HO2S Bank 1 Sensor 2 Heater Not On During Key On Engine Running Self Test
1128,HO2S Bank 1 Sensor 1 Signals Swapped In Key On Engine Running Self Test
1129,Downstream H02S Sensors Swapped
1130,HO2S Bank 1 Sensor 1 Not Switching (Fuel Control Limit Reached)
1131,HO2S Bank 1 Sensor 1 Signal Below 0.45v (A/F Ratio Too Lean)
1132,HO2S Bank 1 Sensor 1 Signal Above 0.45v (A/F Ratio Too Rich)
1133,Bank 1 Fuel Control Shifted Lean
1134,Bank 1 Fuel Control Shifted Rich
1135,HO2S Bank 1 Sensor 1 Heater Circuit Low Input
1136,HO2S Bank 1 Sensor 1 Heater Circuit High Input
1137,HO2S Bank 1 Sensor 2 Not Switching (Fuel Control Limit Reached)
1138,HO2S Bank 1 Sensor 2 Signal Above 0.45v (A/F Ratio Too Rich)
1141,HO2S Bank 1 Sensor 2 Heater Circuit Low Input
1142,HO2S Bank 1 Sensor 2 Heater Circuit High Input
1143,HO2S Bank 1 Sensor 3 Signal Below 0.45v (A/F Ratio Too Lean)
1144,HO2S Bank 1 Sensor 3 Signal Above 0.45v (A/F Ratio Too Rich)
1150,HO2S Bank 2 Sensor 1 Not Switching (Fuel Control Limit Reached)
1151,HO2S Bank 2 Sensor 1 Signal Below 0.45v (A/F Ratio Too Lean)
1152,HO2S Bank 2 Sensor 1 Signal Above 0.45v (A/F Ratio Too Rich)
1153,Bank 2 Fuel Control Shifted Lean(FAOSC)
1154,Bank 2 Fuel Control Shifted Rich (FAOSC)
1169,HO2S Bank 1 Sensor 1 Circuit Fixed (Bank 1 Sensor 1)
1170,HO2S Bank 1 Sensor 1 Circuit Fixed (Bank 1 Sensor 1)
1173,HO2S Bank 2 Sensor 1 Circuit Fixed (Bank 2 Sensor 1)
1182,Fuel Shut Off Solenoid Circuit
1189,ump Speed Signal
1190,Calibration Resistor Out Of Range
1191,TP (Controlled) Circuit
1194,ECM, PCM, A/D Converter
1195,EGR Boost Sensor Circuit
1196,Ignition Switch Start Circuit
1197,Mileage Switch Circuit
1213,Start Injector Circuit
1221,Traction Control System
1222,Traction Control Output Circuit
1226,Control Sleeve Sensor Cicuit
1235,Fuel Pump Control Circuit
1236,Fuel Pump Control Out Range
1248,Turbo Boost Pressure Not Detected
1250,ressure Regulator Control Solenoid Circuit
1251,Air Mixture Solenoid Circuit
1252,ressure Regulator Control Solenoid '2' Circuit
1260,Anti-Theft System Signal Detected - Engine Disabled
1270,Engine RPM or Vehicle Speed Limit Reached
